Mes,Precio €/m2,Variación anual
01/12/09,1894,"-2,80%"
01/11/09,1900,"-3,70%"
01/10/09,1898,"-3,60%"
01/09/09,1899,"-4,00%"
01/08/09,1904,"-4,20%"
01/07/09,1919,"-4,80%"
01/06/09,1926,"-5,70%"
01/05/09,1937,"-5,50%"
01/04/09,1945,"-5,70%"
01/03/09,1951,"-5,30%"
01/02/09,1944,"-5,30%"
01/01/09,1947,"-5,30%"
01/12/08,1948,"-5,80%"
01/11/08,1973,"-5,90%"
01/10/08,1969,"-5,80%"
01/09/08,1977,"-5,10%"
01/08/08,1988,"-4,80%"
01/07/08,2016,"-4,30%"
01/06/08,2043,"-3,40%"
01/05/08,2050,"-3,00%"
01/04/08,2063,"-1,20%"
01/03/08,2062,"-1,90%"
01/02/08,2052,"-0,50%"
01/01/08,2056,"-0,20%"
01/12/07,2068,"0,30%"
01/11/07,2097,"1,10%"
01/10/07,2091,"1,40%"
01/09/07,2083,"1,30%"
01/08/07,2087,"3,00%"
01/07/07,2106,"3,10%"
01/06/07,2115,"4,10%"
01/05/07,2114,"4,60%"
01/04/07,2088,"3,40%"
01/03/07,2101,"2,50%"
01/02/07,2063,"-1,20%"
01/01/07,2060,"-0,30%"
01/12/06,2062,n.d.
01/11/06,2075,n.d.
01/10/06,2062,n.d.
01/09/06,2056,n.d.
01/08/06,2027,n.d.
01/07/06,2042,n.d.
01/06/06,2033,n.d.
01/05/06,2021,n.d.
01/04/06,2020,n.d.
01/03/06,2049,n.d.
01/02/06,2088,n.d.
01/01/06,2065,n.d.
