DateTime,oro_media_mensual,Anio
2016-04-01,1102.00758970342,2016
2016-05-01,1112.2713849509382,2016
2016-06-01,1135.7309552803065,2016
2016-07-01,1209.3352252894335,2016
2016-08-01,1193.9738851256964,2016
2016-09-01,1181.5061611275057,2016
2016-10-01,1146.1753097335363,2016
2016-11-01,1142.7213428717705,2016
2016-12-01,1091.735390201901,2016
2017-01-01,1122.8810410091314,2017
2017-02-01,1159.095246917279,2017
2017-03-01,1151.1950623104246,2017
2017-04-01,1183.7343656692644,2017
2017-05-01,1127.096978397811,2017
2017-06-01,1122.2284911258366,2017
2017-07-01,1073.0794259314882,2017
2017-08-01,1086.3645263198905,2017
2017-09-01,1102.9372969744577,2017
2017-10-01,1087.6149557930955,2017
2017-11-01,1092.4366954716384,2017
2017-12-01,1069.699142104359,2017
2018-01-01,1093.259826580797,2018
2018-02-01,1076.6978987917187,2018
2018-03-01,1073.5057085288897,2018
2018-04-01,1086.7927401501795,2018
2018-05-01,1100.3461697962305,2018
2018-06-01,1096.2767468029738,2018
2018-07-01,1057.4220470025057,2018
2018-08-01,1038.7844482289277,2018
2018-09-01,1026.0292893053052,2018
2018-10-01,1056.111731263077,2018
2018-11-01,1072.8578026854625,2018
2018-12-01,1101.5078081476772,2018
2019-01-01,1129.8887564608801,2019
2019-02-01,1160.9489573184849,2019
2019-03-01,1148.1612743352512,2019
2019-04-01,1143.591636926867,2019
2019-05-01,1147.5049406480548,2019
2019-06-01,1204.2288554913223,2019
2019-07-01,1259.2375682433822,2019
2019-08-01,1349.3727052592924,2019
2019-09-01,1368.5619270598634,2019
2019-10-01,1351.7034198574415,2019
2019-11-01,1329.424519614398,2019
2019-12-01,1332.8343095502355,2019
2020-01-01,1404.4929570826016,2020
2020-02-01,1462.2074681990562,2020
2020-03-01,1440.2566070773116,2020
2020-04-01,1558.9647800689588,2020
2020-05-01,1576.9186647282738,2020
2020-06-01,1542.2344969163207,2020
2020-07-01,1611.0980443285562,2020
2020-08-01,1662.4182951372516,2020
2020-09-01,1627.9787652861633,2020
2020-10-01,1614.5257755348562,2020
2020-11-01,1578.3323324676255,2020
2020-12-01,1528.7941940373892,2020
2021-01-01,1530.8524795851547,2021
2021-02-01,1492.5064161570908,2021
2021-03-01,1443.2771383209506,2021
2021-04-01,1470.3683784327657,2021
2021-05-01,1524.583532599257,2021
2021-06-01,1520.5807213885453,2021
2021-07-01,1527.0716099701997,2021
2021-08-01,1516.6364687220441,2021
2021-09-01,1508.4348840579362,2021
2021-10-01,1531.2959998896938,2021
2021-11-01,1592.4096824143292,2021
2021-12-01,1584.111348132244,2021
2022-01-01,1604.621108013247,2022
2022-02-01,1638.2092005488948,2022
2022-03-01,1769.6686007789476,2022
2022-04-01,1786.2495530380797,2022
2022-05-01,1747.1978652380046,2022
2022-06-01,1733.9141714386558,2022
2022-07-01,1698.7179431813524,2022
2022-08-01,1740.2259962347455,2022
2022-09-01,1693.6310773295963,2022
2022-10-01,1693.171860683245,2022
2022-11-01,1696.384364027753,2022
2022-12-01,1698.8411041600662,2022
2023-01-01,1762.8560363918175,2023
2023-02-01,1728.5789161621797,2023
2023-03-01,1786.6132942275215,2023
2023-04-01,1825.7201749419553,2023
2023-05-01,1831.1264847555176,2023
2023-06-01,1792.5759921065792,2023
2023-07-01,1763.4202275372131,2023
2023-08-01,1756.8488510247191,2023
2023-09-01,1790.4988272431008,2023
2023-10-01,1813.0888846970274,2023
2023-11-01,1837.9779300832383,2023
2023-12-01,1862.4040584691186,2023
2024-01-01,1858.9082645474355,2024
2024-02-01,1876.1901558303252,2024
2024-03-01,1987.3891300499283,2024
2024-04-01,2173.9971956420254,2024
2024-05-01,2175.078367320597,2024
2024-06-01,2159.4587258218658,2024
2024-07-01,2207.053196170691,2024
2024-08-01,2239.8781486999974,2024
2024-09-01,2316.6982367497617,2024
2024-10-01,2465.613940735501,2024
2024-11-01,2489.128054178113,2024
2024-12-01,2523.1011332525577,2024
2025-01-01,2628.9362405156025,2025
2025-02-01,2783.3764641138296,2025
2025-03-01,2765.6739688452785,2025
2025-04-01,2861.0053705197133,2025
2025-05-01,2910.906341780131,2025
2025-06-01,2909.515308444713,2025
2025-07-01,2857.6949788324246,2025
2025-08-01,2898.082265500461,2025
2025-09-01,3137.41386970727,2025
2025-10-01,3473.3110224490633,2025
2025-11-01,3532.6685136961423,2025
2025-12-01,3682.1739913425886,2025
2026-01-01,4027.1005250249145,2026
2026-02-01,4237.53180160612,2026
2026-03-01,4198.0007752017955,2026
2026-04-01,4065.320115610226,2026
