DateTime,Préstamos y créditos (TAE),Anio
2025-01-01,443,2025
2025-02-01,419,2025
2025-03-01,394,2025
2025-04-01,404,2025
2025-05-01,381,2025
2025-06-01,360,2025
2025-07-01,385,2025
2025-08-01,377,2025
2025-09-01,368,2025
2025-10-01,386,2025
2025-11-01,374,2025
2025-12-01,365,2025
2026-01-01,393,2026
